V4_0,Time_codelist,Time,Geography_codelist,Geography,DATAMARKING_codelist,DATAMARKING,Indicators_codelist,Indicators,Measure_codelist,Measure
18.99,,2012/13*,E08000037,,,,, 5-6 ,,Life
48.52,,2012/13*,E08000037,,,,,7-8  ,,Life
25.4,,2012/13*,E08000037,,,,,9-10 ,,Life
7.79,,2013/14*,E08000037,,,,,0-4,,Life
17.32,,2013/14*,E08000037,,,,, 5-6 ,,Life
50.94,,2013/14*,E08000037,,,,,7-8  ,,Life
23.95,,2013/14*,E08000037,,,,,9-10 ,,Life
5.96,,2014/15*,E08000037,,,,,0-4,,Life
15.6,,2014/15*,E08000037,,,,, 5-6 ,,Life
54.17,,2014/15*,E08000037,,,,,7-8  ,,Life
24.28,,2014/15*,E08000037,,,,,9-10 ,,Life
4.12,,2015/16*,E08000037,,,,,0-4,,Life
14.82,,2015/16*,E08000037,,,,, 5-6 ,,Life
52.44,,2015/16*,E08000037,,,,,7-8  ,,Life
28.63,,2015/16*,E08000037,,,,,9-10 ,,Life
4.85,,2016/17*,E08000037,,,,,0-4,,Life
12.83,,2016/17*,E08000037,,,,, 5-6 ,,Life
51.61,,2016/17*,E08000037,,,,,7-8  ,,Life
30.71,,2016/17*,E08000037,,,,,9-10 ,,Life
5.04,,2011/12,E08000021,,,,,0-4,,Life
15.97,,2011/12,E08000021,,,,, 5-6 ,,Life
52.21,,2011/12,E08000021,,,,,7-8  ,,Life
26.78,,2011/12,E08000021,,,,,9-10 ,,Life
6.46,,2012/13*,E08000021,,,,,0-4,,Life
17.8,,2012/13*,E08000021,,,,, 5-6 ,,Life
50.72,,2012/13*,E08000021,,,,,7-8  ,,Life
25.03,,2012/13*,E08000021,,,,,9-10 ,,Life
6.65,,2013/14*,E08000021,,,,,0-4,,Life
16.97,,2013/14*,E08000021,,,,, 5-6 ,,Life
51.16,,2013/14*,E08000021,,,,,7-8  ,,Life
25.23,,2013/14*,E08000021,,,,,9-10 ,,Life
6.44,,2014/15*,E08000021,,,,,0-4,,Life
17.05,,2014/15*,E08000021,,,,, 5-6 ,,Life
55.19,,2014/15*,E08000021,,,,,7-8  ,,Life
21.32,,2014/15*,E08000021,,,,,9-10 ,,Life
6.41,,2015/16*,E08000021,,,,,0-4,,Life
17.02,,2015/16*,E08000021,,,,, 5-6 ,,Life
50.86,,2015/16*,E08000021,,,,,7-8  ,,Life
25.71,,2015/16*,E08000021,,,,,9-10 ,,Life
5.52,,2016/17*,E08000021,,,,,0-4,,Life
13.78,,2016/17*,E08000021,,,,, 5-6 ,,Life
54.68,,2016/17*,E08000021,,,,,7-8  ,,Life
26.02,,2016/17*,E08000021,,,,,9-10 ,,Life
6.28,,2011/12,E08000022,,,,,0-4,,Life
19.85,,2011/12,E08000022,,,,, 5-6 ,,Life
53.19,,2011/12,E08000022,,,,,7-8  ,,Life
20.68,,2011/12,E08000022,,,,,9-10 ,,Life
5.81,,2012/13*,E08000022,,,,,0-4,,Life
18.32,,2012/13*,E08000022,,,,, 5-6 ,,Life
48.31,,2012/13*,E08000022,,,,,7-8  ,,Life
27.56,,2012/13*,E08000022,,,,,9-10 ,,Life
5.3,,2013/14*,E08000022,,,,,0-4,,Life
15.97,,2013/14*,E08000022,,,,, 5-6 ,,Life
51.96,,2013/14*,E08000022,,,,,7-8  ,,Life
26.76,,2013/14*,E08000022,,,,,9-10 ,,Life
5.2,,2014/15*,E08000022,,,,,0-4,,Life
16.32,,2014/15*,E08000022,,,,, 5-6 ,,Life
53.46,,2014/15*,E08000022,,,,,7-8  ,,Life
25.02,,2014/15*,E08000022,,,,,9-10 ,,Life
4.69,,2015/16*,E08000022,,,,,0-4,,Life
14.44,,2015/16*,E08000022,,,,, 5-6 ,,Life
54.44,,2015/16*,E08000022,,,,,7-8  ,,Life
26.44,,2015/16*,E08000022,,,,,9-10 ,,Life
7.11,,2016/17*,E08000022,,,,,0-4,,Life
13.84,,2016/17*,E08000022,,,,, 5-6 ,,Life
50.66,,2016/17*,E08000022,,,,,7-8  ,,Life
28.39,,2016/17*,E08000022,,,,,9-10 ,,Life
9.13,,2011/12,E08000023,,,,,0-4,,Life
19.04,,2011/12,E08000023,,,,, 5-6 ,,Life
46.94,,2011/12,E08000023,,,,,7-8  ,,Life
24.89,,2011/12,E08000023,,,,,9-10 ,,Life
8.81,,2012/13*,E08000023,,,,,0-4,,Life
18.77,,2012/13*,E08000023,,,,, 5-6 ,,Life
48.51,,2012/13*,E08000023,,,,,7-8  ,,Life
23.91,,2012/13*,E08000023,,,,,9-10 ,,Life
8.6,,2013/14*,E08000023,,,,,0-4,,Life
19.04,,2013/14*,E08000023,,,,, 5-6 ,,Life
47.12,,2013/14*,E08000023,,,,,7-8  ,,Life
25.24,,2013/14*,E08000023,,,,,9-10 ,,Life
5.88,,2014/15*,E08000023,,,,,0-4,,Life
16.48,,2014/15*,E08000023,,,,, 5-6 ,,Life
48.16,,2014/15*,E08000023,,,,,7-8  ,,Life
29.49,,2014/15*,E08000023,,,,,9-10 ,,Life
6.83,,2015/16*,E08000023,,,,,0-4,,Life
13.74,,2015/16*,E08000023,,,,, 5-6 ,,Life
48.24,,2015/16*,E08000023,,,,,7-8  ,,Life
31.19,,2015/16*,E08000023,,,,,9-10 ,,Life
6.02,,2016/17*,E08000023,,,,,0-4,,Life
14.87,,2016/17*,E08000023,,,,, 5-6 ,,Life
47.37,,2016/17*,E08000023,,,,,7-8  ,,Life
31.74,,2016/17*,E08000023,,,,,9-10 ,,Life
7.63,,2011/12,E08000024,,,,,0-4,,Life
19.54,,2011/12,E08000024,,,,, 5-6 ,,Life
45.01,,2011/12,E08000024,,,,,7-8  ,,Life
27.82,,2011/12,E08000024,,,,,9-10 ,,Life
7.15,,2012/13*,E08000024,,,,,0-4,,Life
19.74,,2012/13*,E08000024,,,,, 5-6 ,,Life
48.49,,2012/13*,E08000024,,,,,7-8  ,,Life
24.62,,2012/13*,E08000024,,,,,9-10 ,,Life
6.28,,2013/14*,E08000024,,,,,0-4,,Life
17.7,,2013/14*,E08000024,,,,, 5-6 ,,Life
47.36,,2013/14*,E08000024,,,,,7-8  ,,Life
28.66,,2013/14*,E08000024,,,,,9-10 ,,Life
7.59,,2014/15*,E08000024,,,,,0-4,,Life
14.06,,2014/15*,E08000024,,,,, 5-6 ,,Life
47.44,,2014/15*,E08000024,,,,,7-8  ,,Life
30.92,,2014/15*,E08000024,,,,,9-10 ,,Life
5.95,,2015/16*,E08000024,,,,,0-4,,Life
15.56,,2015/16*,E08000024,,,,, 5-6 ,,Life
48.33,,2015/16*,E08000024,,,,,7-8  ,,Life
30.16,,2015/16*,E08000024,,,,,9-10 ,,Life
4.94,,2016/17*,E08000024,,,,,0-4,,Life
16.65,,2016/17*,E08000024,,,,, 5-6 ,,Life
45.82,,2016/17*,E08000024,,,,,7-8  ,,Life
32.58,,2016/17*,E08000024,,,,,9-10 ,,Life
6.92,,2011/12,E12000002,,,,,0-4,,Life
18.18,,2011/12,E12000002,,,,, 5-6 ,,Life
48.94,,2011/12,E12000002,,,,,7-8  ,,Life
25.96,,2011/12,E12000002,,,,,9-10 ,,Life
6.39,,2012/13*,E12000002,,,,,0-4,,Life
17.94,,2012/13*,E12000002,,,,, 5-6 ,,Life
49.35,,2012/13*,E12000002,,,,,7-8  ,,Life
26.32,,2012/13*,E12000002,,,,,9-10 ,,Life
6.96,,2013/14*,E12000002,,,,,0-4,,Life
16.79,,2013/14*,E12000002,,,,, 5-6 ,,Life
49.66,,2013/14*,E12000002,,,,,7-8  ,,Life
26.59,,2013/14*,E12000002,,,,,9-10 ,,Life
5.53,,2014/15*,E12000002,,,,,0-4,,Life
16.06,,2014/15*,E12000002,,,,, 5-6 ,,Life
49.29,,2014/15*,E12000002,,,,,7-8  ,,Life
29.12,,2014/15*,E12000002,,,,,9-10 ,,Life
6.2,,2015/16*,E12000002,,,,,0-4,,Life
15.33,,2015/16*,E12000002,,,,, 5-6 ,,Life
49.99,,2015/16*,E12000002,,,,,7-8  ,,Life
28.48,,2015/16*,E12000002,,,,,9-10 ,,Life
5.41,,2016/17*,E12000002,,,,,0-4,,Life
14.9,,2016/17*,E12000002,,,,, 5-6 ,,Life
50.85,,2016/17*,E12000002,,,,,7-8  ,,Life
28.83,,2016/17*,E12000002,,,,,9-10 ,,Life
8.1,,2011/12,E06000008,,,,,0-4,,Life
21.01,,2011/12,E06000008,,,,, 5-6 ,,Life
48.8,,2011/12,E06000008,,,,,7-8  ,,Life
22.08,,2011/12,E06000008,,,,,9-10 ,,Life
7.75,,2012/13*,E06000008,,,,,0-4,,Life
21.88,,2012/13*,E06000008,,,,, 5-6 ,,Life
44.64,,2012/13*,E06000008,,,,,7-8  ,,Life
25.73,,2012/13*,E06000008,,,,,9-10 ,,Life
9.41,,2013/14*,E06000008,,,,,0-4,,Life
17.1,,2013/14*,E06000008,,,,, 5-6 ,,Life
47.29,,2013/14*,E06000008,,,,,7-8  ,,Life
26.2,,2013/14*,E06000008,,,,,9-10 ,,Life
5.88,,2014/15*,E06000008,,,,,0-4,,Life
16.42,,2014/15*,E06000008,,,,, 5-6 ,,Life
47.93,,2014/15*,E06000008,,,,,7-8  ,,Life
29.76,,2014/15*,E06000008,,,,,9-10 ,,Life
5.3,,2015/16*,E06000008,,,,,0-4,,Life
17.16,,2015/16*,E06000008,,,,, 5-6 ,,Life
46.86,,2015/16*,E06000008,,,,,7-8  ,,Life
30.68,,2015/16*,E06000008,,,,,9-10 ,,Life
6.36,,2016/17*,E06000008,,,,,0-4,,Life
16.21,,2016/17*,E06000008,,,,, 5-6 ,,Life
47.91,,2016/17*,E06000008,,,,,7-8  ,,Life
29.51,,2016/17*,E06000008,,,,,9-10 ,,Life
